,userID,u_EF,u_avg_orders,u_avg_period,u_first_bought,u_last_bought,u_std_avg_period,u_mean_bought,u_std_bought
0,0,7,2.0,26.0,5,239,16.98,139.4,73.45
18,1,6,1.8,21.44,37,230,13.48,147.2,57.59
33,2,8,2.5,23.33,29,239,11.98,132.6,65.0
54,3,7,3.38,15.47,10,242,12.46,122.12,72.44
94,4,7,3.0,20.17,1,243,13.78,120.0,85.24
117,5,2,2.67,34.0,171,239,22.0,197.67,29.63
121,6,5,3.44,26.25,21,231,30.06,135.0,74.12
142,7,4,2.75,53.67,77,238,11.32,159.5,61.96
152,8,4,4.2,51.25,8,213,52.27,73.6,73.67
163,9,3,3.75,61.67,48,233,35.52,143.75,65.63
176,10,4,4.2,35.5,76,218,10.69,151.8,48.7
189,11,7,5.0,22.5,10,190,11.8,103.33,63.19
218,12,7,2.85,17.58,17,228,15.46,137.15,75.73
250,13,7,5.58,21.64,6,244,14.04,118.5,72.11
300,14,6,4.0,25.57,19,198,21.84,112.5,67.53
326,15,8,4.43,16.62,23,239,7.85,147.36,66.44
375,16,5,2.88,29.0,28,231,29.83,163.12,59.28
388,17,7,3.17,19.55,8,223,16.43,109.42,73.74
419,18,4,2.6,22.22,44,244,27.51,126.7,71.82
443,19,5,3.4,60.5,2,244,31.02,137.8,87.25
458,20,4,2.57,33.0,1,199,25.1,100.29,77.84
473,21,8,3.7,21.89,23,220,13.19,119.3,73.07
500,22,4,4.22,17.62,6,147,19.52,60.89,44.57
529,23,4,1.75,57.0,29,200,32.93,134.5,66.18
536,24,8,4.95,13.06,6,241,8.67,108.05,67.4
605,25,4,2.0,41.33,107,231,15.92,161.25,48.58
610,26,2,2.75,63.0,3,192,86.27,143.0,80.84
620,27,2,4.0,50.67,32,184,61.06,76.0,62.58
633,28,5,5.5,32.2,70,231,20.06,159.83,57.16
651,29,7,3.18,22.0,17,237,17.65,126.82,64.93
671,30,1,2.0,0.0,141,141,0.0,141.0,0.0
672,31,3,5.75,41.67,69,194,22.57,129.75,44.37
689,32,3,8.0,31.0,78,202,26.34,140.0,50.56
711,33,3,3.25,38.67,122,238,20.04,173.25,41.9
722,34,7,2.93,16.85,8,227,18.22,103.21,73.02
761,35,5,3.29,36.83,12,233,41.7,125.29,87.21
780,36,5,3.38,22.0,54,208,14.94,143.5,50.41
804,37,3,5.2,33.5,32,166,37.5,111.4,57.64
819,38,4,3.33,44.6,20,243,39.67,118.5,90.46
831,39,6,5.0,30.57,7,221,18.81,92.5,69.61
857,40,6,4.0,28.71,2,203,21.14,102.62,56.34
879,41,8,3.81,12.05,3,244,7.59,118.1,72.05
936,42,4,3.5,37.0,78,189,19.87,143.5,41.17
950,43,8,3.29,11.85,4,241,7.71,122.05,76.78
1004,44,6,2.29,24.33,25,171,17.03,104.71,57.15
1014,45,3,5.25,73.33,16,236,55.17,134.25,94.3
1034,46,5,3.5,29.71,12,220,26.03,103.12,62.72
1062,47,5,2.67,30.6,64,217,6.41,137.33,53.69
1075,48,5,4.71,21.33,104,232,11.59,181.14,46.98
1087,49,6,3.86,31.5,55,244,13.07,166.0,66.47
1107,50,4,4.8,59.5,6,244,38.29,145.8,81.79
1119,51,4,1.75,58.33,62,237,32.72,134.0,64.6
1125,52,4,3.25,57.67,60,233,39.68,133.0,62.76
1131,53,5,3.6,44.5,48,226,21.09,155.6,65.81
1148,54,3,2.29,18.67,95,207,14.22,140.86,38.66
1161,55,6,3.7,27.11,1,245,21.12,135.4,87.27
1193,56,4,5.6,46.5,49,235,36.4,128.6,70.32
1212,57,6,3.42,18.91,30,238,18.97,129.92,80.32
1241,58,4,6.2,54.5,19,237,40.81,128.2,82.14
1259,59,5,7.33,46.0,13,243,31.06,111.67,77.84
1288,60,5,2.57,31.67,8,198,17.65,106.43,70.14
1304,61,6,4.89,24.75,40,238,19.29,107.89,60.08
1324,62,5,4.0,22.43,13,170,14.9,113.0,50.87
1349,63,8,4.68,7.89,27,240,6.16,116.07,67.56
1429,64,4,2.6,40.25,2,163,23.09,90.2,62.29
1438,65,5,2.67,45.4,18,245,41.03,111.0,73.83
1451,66,1,5.0,0.0,12,12,0.0,12.0,0.0
1453,67,4,3.71,34.0,27,231,35.06,149.14,78.36
1478,68,5,4.4,59.5,2,240,16.77,117.6,81.49
1493,69,7,4.42,19.0,29,238,13.99,151.33,61.88
1535,70,5,3.11,28.38,5,232,26.4,123.44,71.22
1553,71,4,2.0,63.67,41,232,57.41,161.25,71.95
1558,72,2,2.75,60.0,27,207,78.49,158.75,76.13
1566,73,3,3.33,39.0,13,91,9.0,55.0,32.12
1574,74,5,4.2,50.25,24,225,28.47,134.0,77.96
1592,75,8,5.73,15.79,5,226,14.16,116.53,73.25
1653,76,6,4.62,18.83,1,227,20.64,102.69,79.78
1693,77,4,10.12,24.0,76,244,25.17,196.0,56.12
1717,78,6,3.36,22.7,12,239,18.83,103.73,71.26
1741,79,4,5.14,32.0,7,199,27.54,89.14,58.84
1768,80,5,2.56,28.38,15,242,28.53,109.56,77.92
1791,81,3,2.0,48.67,86,232,49.57,187.25,59.4
1798,82,5,2.0,27.75,73,184,15.25,137.2,43.7
1806,83,4,3.2,42.5,13,183,32.1,93.8,61.99
1817,84,2,3.5,134.0,33,167,0.0,100.0,67.0
1823,85,7,8.42,20.45,8,233,13.37,121.75,70.12
1869,86,4,3.4,57.0,4,232,39.82,122.2,90.01
1886,87,5,4.0,28.4,17,159,23.99,82.33,58.42
1893,88,3,3.33,59.0,100,218,36.0,147.0,51.08
1901,89,4,2.25,51.67,1,156,22.53,89.0,56.86
1910,90,5,3.62,30.0,3,213,29.97,116.62,65.55
1936,91,7,4.9,22.56,29,232,19.25,142.2,77.32
1966,92,3,4.8,14.0,169,225,7.65,200.0,19.74
1981,93,3,3.0,88.5,55,232,35.5,131.67,74.17
1985,94,8,5.17,19.36,14,227,12.04,132.25,76.63
2033,95,4,2.67,47.0,4,239,36.44,106.17,93.19
2048,96,4,3.75,46.67,85,225,28.11,157.5,58.14
2053,97,5,4.2,55.0,6,226,20.24,120.8,82.87
2065,98,6,2.56,29.62,6,243,21.68,148.22,72.71
2081,99,6,3.0,46.4,6,238,25.49,126.83,88.29
2096,100,5,9.2,44.25,29,206,26.44,110.6,68.74
2140,101,3,4.0,91.0,46,228,28.0,127.67,75.46
2149,102,2,2.0,64.0,70,134,0.0,102.0,32.0
2153,103,4,4.0,28.75,124,239,19.11,187.2,41.89
2167,104,4,3.8,35.25,80,221,24.12,162.8,57.19
2181,105,4,3.2,39.0,41,197,25.71,137.4,60.59
2195,106,6,3.33,24.5,28,224,20.09,114.56,70.84
2224,107,6,4.5,19.11,69,241,15.72,142.7,59.53
2252,108,7,5.75,34.0,6,244,16.32,143.25,77.85
2283,109,6,3.38,25.86,36,217,22.58,117.12,64.2
2309,110,8,5.67,20.0,15,235,9.87,130.17,67.85
2360,111,5,2.17,45.2,14,240,38.21,127.0,86.37
2369,112,2,2.5,37.0,142,179,0.0,160.5,18.5
2373,113,8,2.5,17.23,6,230,10.3,100.36,68.46
2401,114,7,4.1,12.37,2,237,15.11,106.0,81.05
2481,115,3,7.25,34.33,119,222,32.6,173.25,46.19
