userID,itemID,item_bought_next_28_days
1199,637,0.0
21557,3520,0.0
23387,1633,0.0
32069,29311,1.0
30359,11124,0.0
7964,26227,0.0
36345,24198,0.0
6896,18630,0.0
44009,29657,0.0
465,24866,0.0
23906,6550,1.0
13255,461,0.0
36244,17550,0.0
41733,23582,0.0
44219,29657,0.0
40176,29552,0.0
5999,5221,0.0
15401,15445,0.0
19124,17741,0.0
13094,17499,0.0
14112,22326,0.0
16292,337,0.0
45089,18630,1.0
39101,21264,0.0
18345,16822,0.0
7609,32349,0.0
10304,28186,0.0
10293,27560,1.0
24115,20058,0.0
31095,8532,1.0
43002,7107,0.0
11753,12528,0.0
31165,14616,1.0
20853,9185,0.0
21097,9256,1.0
982,30362,0.0
18766,31901,1.0
13077,11532,0.0
42865,17670,0.0
26815,22693,0.0
40349,19768,1.0
13717,21690,0.0
3414,10611,1.0
2274,13206,0.0
35237,624,0.0
8711,16344,0.0
15753,2321,1.0
2128,4280,0.0
6414,6261,1.0
4113,32770,0.0
32976,6295,0.0
8015,4889,0.0
22627,16005,1.0
9665,14016,0.0
43450,3913,0.0
10275,5421,0.0
10392,8385,0.0
39716,17089,1.0
24182,4999,0.0
36899,4092,0.0
25019,25115,1.0
2322,29660,0.0
9124,10409,0.0
28911,20150,0.0
15247,16389,0.0
28701,6987,0.0
27424,8931,1.0
29142,1898,0.0
37003,27108,0.0
29932,20279,1.0
16577,29552,0.0
8528,29657,0.0
26241,10507,0.0
11415,20370,0.0
14458,13712,0.0
27624,29657,0.0
30875,16294,0.0
10177,26332,0.0
26652,11064,0.0
29768,11474,0.0
22775,395,0.0
46001,3100,1.0
7119,4026,0.0
39268,22978,0.0
16555,24557,0.0
20914,4085,0.0
8203,27280,0.0
12394,14668,0.0
34695,27432,0.0
12380,10997,0.0
14042,26503,0.0
27173,18476,0.0
31659,22273,0.0
11381,24091,1.0
6330,11928,0.0
30514,31850,1.0
3859,11199,0.0
38447,21006,0.0
35637,1509,1.0
34385,2916,1.0
23452,31953,1.0
27654,8705,1.0
1258,27968,0.0
21499,5221,0.0
5893,26288,0.0
9202,23582,1.0
21397,15423,0.0
32709,15483,0.0
41653,20478,0.0
18515,5654,0.0
11531,5464,0.0
8849,8705,1.0
40485,29345,0.0
29604,27899,1.0
4925,7335,0.0
17694,26288,0.0
32902,29097,1.0
