,userID,u_EF,u_avg_orders,u_avg_period,u_first_bought,u_last_bought,u_std_avg_period,u_mean_bought,u_std_bought
0,0,6,1.75,27.0,5,194,17.94,115.75,62.77
14,1,6,1.78,22.38,37,216,14.02,138.0,53.28
27,2,7,2.67,21.62,29,202,11.63,120.78,57.42
47,3,6,3.5,15.54,10,212,12.91,106.71,63.85
85,4,6,2.9,20.11,1,182,10.77,84.9,64.02
102,5,1,2.5,12.0,171,183,0.0,177.0,6.0
104,6,4,3.38,27.14,21,211,32.04,123.0,69.89
123,7,3,2.67,59.5,77,196,9.5,133.33,48.79
130,8,4,4.2,51.25,8,213,52.27,73.6,73.67
141,9,2,4.0,52.5,48,153,40.5,114.0,46.93
151,10,3,4.5,34.67,76,180,12.23,135.25,39.93
163,11,7,5.0,22.5,10,190,11.8,103.33,63.19
192,12,7,2.64,19.9,17,216,15.86,121.55,72.04
218,13,6,5.64,20.1,6,207,13.82,107.09,64.12
263,14,6,4.0,25.57,19,198,21.84,112.5,67.53
289,15,7,3.67,16.91,23,209,8.33,133.0,60.85
325,16,4,3.14,30.5,28,211,31.98,153.43,57.13
337,17,6,3.27,18.7,8,195,17.01,99.09,68.21
367,18,3,2.75,17.0,44,163,22.58,98.12,48.61
387,19,4,3.0,63.33,2,192,35.37,111.25,77.4
398,20,4,2.57,33.0,1,199,25.1,100.29,77.84
413,21,7,4.0,23.25,23,209,13.38,108.11,68.41
439,22,4,4.22,17.62,6,147,19.52,60.89,44.57
468,23,4,1.75,57.0,29,200,32.93,134.5,66.18
475,24,7,4.83,12.0,6,210,7.72,100.67,61.3
537,25,3,1.33,37.0,107,181,18.0,138.0,31.38
540,26,2,2.75,63.0,3,192,86.27,143.0,80.84
550,27,2,4.0,50.67,32,184,61.06,76.0,62.58
563,28,4,4.8,35.75,70,213,20.98,145.6,52.01
574,29,6,3.0,18.75,17,167,13.87,103.56,46.58
591,30,1,2.0,0.0,141,141,0.0,141.0,0.0
592,31,3,5.75,41.67,69,194,22.57,129.75,44.37
609,32,3,8.0,31.0,78,202,26.34,140.0,50.56
631,33,2,3.0,26.0,122,174,11.0,151.67,21.85
639,34,7,2.92,17.25,8,215,18.91,93.69,66.88
675,35,4,3.2,50.5,12,214,45.19,84.8,69.96
687,36,5,3.38,22.0,54,208,14.94,143.5,50.41
711,37,3,5.2,33.5,32,166,37.5,111.4,57.64
726,38,4,3.8,49.0,20,216,43.25,93.6,78.09
737,39,5,5.57,25.5,7,160,15.25,74.14,53.31
762,40,6,4.0,28.71,2,203,21.14,102.62,56.34
784,41,7,3.42,11.22,3,205,7.51,106.0,64.72
834,42,4,3.5,37.0,78,189,19.87,143.5,41.17
848,43,7,3.39,11.82,4,205,7.75,103.56,66.92
895,44,6,2.29,24.33,25,171,17.03,104.71,57.15
905,45,3,5.33,100.5,16,217,48.5,100.33,85.18
921,46,4,3.57,21.83,12,143,18.86,86.43,47.6
946,47,5,2.67,30.6,64,217,6.41,137.33,53.69
959,48,4,6.5,31.33,104,198,5.31,147.75,35.15
965,49,5,4.0,39.5,55,213,6.02,136.4,55.8
978,50,3,5.0,67.33,6,208,41.35,121.25,73.13
987,51,3,1.67,35.5,62,133,6.5,99.67,29.15
991,52,3,3.0,32.5,60,125,21.5,99.67,28.41
994,53,4,4.25,55.0,48,213,12.33,138.0,62.17
1010,54,3,2.29,18.67,95,207,14.22,140.86,38.66
1023,55,5,3.14,32.83,1,198,23.17,92.29,68.15
1045,56,3,3.75,37.67,49,162,38.14,102.0,51.41
1057,57,5,3.67,22.62,30,211,20.77,96.44,64.1
1079,58,3,6.5,51.67,19,174,46.78,101.0,68.81
1094,59,4,6.8,36.0,13,157,26.57,85.4,55.96
1114,60,5,2.57,31.67,8,198,17.65,106.43,70.14
1130,61,5,5.38,19.14,40,174,13.17,91.62,40.99
1149,62,5,4.0,22.43,13,170,14.9,113.0,50.87
1174,63,7,4.29,7.65,27,203,6.0,97.38,53.5
1237,64,4,2.6,40.25,2,163,23.09,90.2,62.29
1246,65,4,3.0,29.25,18,135,28.29,84.2,47.23
1258,66,1,5.0,0.0,12,12,0.0,12.0,0.0
1260,67,3,3.2,43.25,27,200,38.67,116.8,70.25
1275,68,4,4.75,52.33,2,159,13.02,87.0,60.16
1288,69,6,4.67,19.38,29,184,13.25,124.44,46.92
1320,70,4,3.38,26.71,5,192,27.83,109.88,63.64
1337,71,3,2.33,74.0,41,189,68.0,137.67,68.4
1341,72,2,2.75,60.0,27,207,78.49,158.75,76.13
1349,73,3,3.33,39.0,13,91,9.0,55.0,32.12
1357,74,4,5.0,58.0,24,198,28.99,111.25,70.78
1374,75,7,5.38,15.0,5,185,13.14,99.85,64.06
1426,76,5,3.91,19.5,1,196,22.37,80.91,66.6
1455,77,3,8.75,40.0,76,196,24.54,151.0,47.39
1469,78,5,3.5,18.44,12,178,14.58,90.2,59.78
1491,79,4,5.14,32.0,7,199,27.54,89.14,58.84
1518,80,4,2.43,20.17,15,136,13.07,73.0,42.28
1535,81,2,1.5,118.0,86,204,0.0,145.0,59.0
1537,82,5,2.0,27.75,73,184,15.25,137.2,43.7
1545,83,4,3.2,42.5,13,183,32.1,93.8,61.99
1556,84,2,3.5,134.0,33,167,0.0,100.0,67.0
1562,85,6,8.36,18.8,8,196,12.91,111.64,64.32
1606,86,3,4.33,47.5,4,99,4.5,53.0,38.84
1619,87,5,4.0,28.4,17,159,23.99,82.33,58.42
1626,88,2,3.0,23.0,100,123,0.0,111.5,11.5
1631,89,4,2.25,51.67,1,156,22.53,89.0,56.86
1640,90,5,3.62,30.0,3,213,29.97,116.62,65.55
1666,91,6,4.57,30.67,29,213,18.85,105.57,63.74
1691,92,3,5.5,16.0,169,217,7.87,193.75,17.08
1705,93,2,2.0,53.0,55,108,0.0,81.5,26.5
1708,94,7,5.7,21.67,14,209,12.17,114.2,71.33
1753,95,4,2.4,53.0,4,216,38.47,79.6,78.66
1765,96,3,3.0,59.0,85,203,27.0,135.0,49.83
1768,97,4,4.5,64.33,6,199,14.06,94.5,71.6
1778,98,5,3.0,34.33,6,212,23.11,123.86,64.03
1792,99,5,2.8,50.75,6,209,26.79,104.6,79.92
1805,100,5,9.2,44.25,29,206,26.44,110.6,68.74
1849,101,2,1.5,63.0,46,109,0.0,77.5,31.5
1852,102,2,2.0,64.0,70,134,0.0,102.0,32.0
1856,103,3,3.75,28.67,124,210,22.07,174.25,36.81
1866,104,3,3.0,51.0,80,182,19.0,124.67,42.59
1874,105,4,3.2,39.0,41,197,25.71,137.4,60.59
1888,106,5,3.29,22.0,28,160,16.96,84.14,47.83
1910,107,6,4.11,18.38,69,216,16.53,131.78,52.39
1933,108,6,6.0,36.4,6,188,12.61,110.67,61.9
